"PK ORIENTAL TRADING INC.","BLK. 16, EUSEBIO AVE. KENNETH ROAD, PINAGBUHATAN","RET GROCERY; FIX IMPORTED WINE","BLK. 16, EUSEBIO AVE. KENNETH ROAD","PINAGBUHATAN","14.5414055","121.1055517"
"MICHAEL ADORA LATONERO SARI-SARI STORE","BLK. 17, EUSEBIO AVE. NAGPAYONG, PINAGBUHATAN","SAR SARI-SARI STORE","BLK. 17, EUSEBIO AVE. NAGPAYONG","PINAGBUHATAN","14.5408298","121.1048102"
"RUIRYU LAUNDROMAT","BLK. 2 LOT 2, PINALAD RD. CENTENNIAL 2, NAGPAYONG, PINAGBUHATAN","SER LAUNDRY","BLK. 2 LOT 2, PINALAD RD. CENTENNIAL 2, NAGPAYONG","PINAGBUHATAN","14.5436845","121.101382"
"THURGOOD MANUEL RESIDENTIAL APARTMENT RENTAL","BLK. 2 LOT 21, SAPPHIRE ST. VILLA GLORIA III SUBD., PINAGBUHATAN","APT APARTMENT RENTAL","BLK. 2 LOT 21, SAPPHIRE ST. VILLA GLORIA III SUBD.","PINAGBUHATAN","14.5578454","121.0928828"
"GOD GIFT LYING IN SERVICES","BLK. 2 LOT 24 CENTENNIAL II-B, PROMISE LAND, NAGPAYONG, PINAGBUHATAN","SER MEDICAL SERVICES","BLK. 2 LOT 24 CENTENNIAL II-B, PROMISE LAND, NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"BENJAMIN C. LABUCAY CONSTRUCTION SERVICES","BLK. 2, LOT 6 MOLAVE ST., FIRST MIDDLE HOA, NAGPAYONG 1, PINAGBUHATAN","SER CONSTRUCTION SERVICES","BLK. 2, LOT 6 MOLAVE ST., FIRST MIDDLE HOA, NAGPAYONG 1","PINAGBUHATAN","14.5437548","121.1036019"
"PHARMAGENERICS, INC.","BLK. 20 EUSEBIO ROAD, PATOK NEIGHBORHOOD ASSN. PINAGBUHATAN, PASIG CITY, PINAGBUHATAN","RET RETAILER; ES3 DRUGSTORE","BLK. 20 EUSEBIO ROAD, PATOK NEIGHBORHOOD ASSN. PINAGBUHATAN, PASIG CITY","PINAGBUHATAN","14.5388243","121.1053382"
"RMFRIAS FISH TRADING","BLK. 21 LT. 1 PATOK, EUSEBIO AVE. NAGPAYONG 2, PINAGBUHATAN","ES3 FISH VENDOR","BLK. 21 LT. 1 PATOK, EUSEBIO AVE. NAGPAYONG 2","PINAGBUHATAN","14.5391198","121.1055074"
"H3C SCHOOL SUPPLIES","BLK. 22 LOT 6, PATOK EUSEBIO AVE. NAGPAYONG 2, PINAGBUHATAN","RET RETAILER","BLK. 22 LOT 6, PATOK EUSEBIO AVE. NAGPAYONG 2","PINAGBUHATAN","14.5363041","121.1084851"
"CUBELOCK FUNITURE","BLK. 28 NO. 64, MOLAVE ST., PINAGBUHATAN","RET RETAILER - FURNITURE","BLK. 28 NO. 64, MOLAVE ST.","PINAGBUHATAN","14.54377","121.1036618"
"LINKZONE SCHOOL SUPPLIES","BLK. 3 LOT 4, ABEGAIL ST. CENTENNIAL 2-B NAGPAYONG, PINAGBUHATAN","RET ENTERPRISES; SER SERVICES","BLK. 3 LOT 4, ABEGAIL ST. CENTENNIAL 2-B NAGPAYONG","PINAGBUHATAN","14.5449164","121.1022872"
"EMBILE'S FURNITURE TRADING","BLK. 3 LOT 4, KENNETH RD. EUSEBIO AVE. NAGPAYONG, PINAGBUHATAN","RET RETAILER","BLK. 3 LOT 4, KENNETH RD. EUSEBIO AVE. NAGPAYONG","PINAGBUHATAN","14.5571041","121.0935184"
"ZUCCHERO CONSUMER GOODS TRADING","BLK. 4 LOT 13 PUPHA COMP., URBANO VELASCO AVE, PINAGBUHATAN","ES3 RICE GRAIN RETAILER; SAR SARI-SARI STORE","BLK. 4 LOT 13 PUPHA COMP., URBANO VELASCO AVE","PINAGBUHATAN","14.556115","121.0894337"
"HARWEN ENTERPRISES","BLK. 4 LOT 5, VILLA RAYMUNDO, CENTENNIAL 2, PINAGBUHATAN","APT LESSOR LOT ONLY","BLK. 4 LOT 5, VILLA RAYMUNDO, CENTENNIAL 2","PINAGBUHATAN","14.5437669","121.1006209"
